Designator,Mid X,Mid Y,Rotation,Layer
C1,259.124621,-122.453009,225.0,bottom
C2,258.046992,-123.530639,225.0,bottom
C3,243.947184,-116.826906,45.0,bottom
C4,245.024814,-115.749275,45.0,bottom
C5,260.20353,-121.368915,225.0,bottom
C6,158.145,-54.35,90.0,bottom
C7,244.096142,-122.653223,270.0,bottom
C8,249.886142,-122.653223,270.0,bottom
D1,63.81375,-64.821875,270.0,bottom
D10,223.3575,-83.871875,270.0,bottom
D11,247.17,-71.965625,270.0,bottom
D12,56.67,-102.921875,270.0,bottom
D13,94.77,-102.921875,270.0,bottom
D14,132.87,-102.921875,270.0,bottom
D15,170.97,-102.921875,270.0,bottom
D16,209.07,-102.921875,270.0,bottom
D17,247.18,-102.6425,270.0,bottom
D19,81.673125,-121.971875,270.0,bottom
D2,104.295,-64.821875,270.0,bottom
D20,128.1075,-121.971875,270.0,bottom
D21,175.7325,-121.971875,270.0,bottom
D22,222.166875,-121.971875,270.0,bottom
D24,247.82,-112.45,135.0,bottom
D3,142.395,-64.821875,270.0,bottom
D4,180.495,-64.821875,270.0,bottom
D5,218.595,-64.821875,270.0,bottom
D6,60.241875,-83.871875,270.0,bottom
D7,99.5325,-83.871875,270.0,bottom
D8,137.6325,-83.871875,270.0,bottom
D9,185.2575,-83.871875,270.0,bottom
F1,163.431915,-65.821875,270.0,bottom
J2,151.92,-49.053125,180.0,bottom
R1,256.964947,-124.606779,225.0,bottom
R10,145.645,-54.4,270.0,bottom
R11,251.226637,-109.626637,45.0,bottom
R12,163.82625,-76.5375,270.0,top
R13,160.65125,-76.5375,270.0,top
R14,246.62,-111.25,135.0,bottom
R2,161.050665,-69.39375,90.0,bottom
R3,158.669415,-69.39375,90.0,bottom
R4,144.145,-54.4,270.0,bottom
R5,159.669,-54.35,90.0,bottom
R7,158.27,-78.15625,270.0,bottom
R8,166.2075,-78.15625,270.0,bottom
SW1,243.8781,-90.83294,0.0,bottom
U1,253.033478,-117.119239,45.0,bottom
U2,159.86004,-65.821875,90.0,bottom
Y1,246.995,-122.65,180.0,bottom
