Designator,Mid X,Mid Y,Rotation,Layer
C1,259.124621,-122.453009,225,bottom
C2,258.046992,-123.530639,225,bottom
C3,243.947184,-116.826906,45,bottom
C4,245.024814,-115.749275,45,bottom
C5,260.20353,-121.368915,225,bottom
C6,158.145,-54.35,90,bottom
C7,244.096142,-122.653223,270,bottom
C8,249.886142,-122.653223,270,bottom
D1,63.81375,-64.821875,270,bottom
D10,223.3575,-83.871875,270,bottom
D11,247.17,-71.965625,270,bottom
D12,56.67,-102.921875,270,bottom
D13,94.77,-102.921875,270,bottom
D14,132.87,-102.921875,270,bottom
D15,170.97,-102.921875,270,bottom
D16,209.07,-102.921875,270,bottom
D17,247.18,-102.6425,270,bottom
D18,142.455,-103.42,0,bottom
D19,81.673125,-121.971875,270,bottom
D2,104.295,-64.821875,270,bottom
D20,128.1075,-121.971875,270,bottom
D21,175.7325,-121.971875,270,bottom
D22,222.166875,-121.971875,270,bottom
D23,161.495,-103.47,0,bottom
D24,261.284644,-115.998076,180,bottom
D3,142.395,-64.821875,270,bottom
D4,180.495,-64.821875,270,bottom
D5,218.595,-64.821875,270,bottom
D6,60.241875,-83.871875,270,bottom
D7,99.5325,-83.871875,270,bottom
D8,137.6325,-83.871875,270,bottom
D9,185.2575,-83.871875,270,bottom
F1,163.431915,-65.821875,270,bottom
J2,151.92,-49.053125,180,bottom
R1,256.964947,-124.606779,225,bottom
R10,145.645,-54.4,270,bottom
R11,251.226637,-109.626637,45,bottom
R14,261.287144,-117.688077,180,bottom
R2,161.050665,-69.39375,90,bottom
R3,158.669415,-69.39375,90,bottom
R4,144.145,-54.4,270,bottom
R5,159.669,-54.35,90,bottom
R6,246.100757,-114.671743,225,bottom
R7,158.27,-78.15625,270,bottom
R8,166.2075,-78.15625,270,bottom
R9,247.189702,-113.582798,225,bottom
SW1,243.8781,-90.83294,0,bottom
U1,253.033478,-117.119239,45,bottom
U2,159.86004,-65.821875,90,bottom
Y1,246.995,-122.65,180,bottom
